OTHER	1E5	PcRebarManager	0			1/0/0;0/1/0;0/0/1
OTHER	209	AcDb3dSolid	0	5282.792,-4297.43,-90	282.792,-9180.847,-210;10282.792,585.986,30	1/0/0;0/1/0;0/0/1
OTHER	217	AcDb3dSolid	0	9882.792,-8780.847,4030	9482.792,-9180.847,30;10282.792,-8380.847,8030	1/0/0;0/1/0;0/0/1
OTHER	21B	AcDb3dSolid	0	682.792,-8780.847,4030	282.792,-9180.847,30;1082.792,-8380.847,8030	1/0/0;0/1/0;0/0/1
OTHER	21F	AcDb3dSolid	0	5282.792,-8780.847,4030	4882.792,-9180.847,30;5682.792,-8380.847,8030	1/0/0;0/1/0;0/0/1
OTHER	223	AcDb3dSolid	0	5282.792,185.986,4030	4882.792,-214.014,30;5682.792,585.986,8030	1/0/0;0/1/0;0/0/1
OTHER	227	AcDb3dSolid	0	682.792,185.986,4030	282.792,-214.014,30;1082.792,585.986,8030	1/0/0;0/1/0;0/0/1
OTHER	22B	AcDb3dSolid	0	9882.792,185.986,4030	9482.792,-214.014,30;10282.792,585.986,8030	1/0/0;0/1/0;0/0/1
OTHER	22F	AcDb3dSolid	0	682.792,-4297.43,4030	282.792,-4697.43,30;1082.792,-3897.43,8030	1/0/0;0/1/0;0/0/1
OTHER	233	AcDb3dSolid	0	9882.792,-4297.43,4030	9482.792,-4697.43,30;10282.792,-3897.43,8030	1/0/0;0/1/0;0/0/1
