OTHER	1E5	PcRebarManager	0			1/0/0;0/1/0;0/0/1
BOLT	325	1124.879,1906.573,-112.5	0,0,55	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
OTHER	39C	PcRebarManager	0			1/0/0;0/1/0;0/0/1
SHAPE	3C6	HE200A	DIN.DIN_HEA	-225.121,3856.573,0	774.879,3856.573,0	1000	ByLayer	HE 200 A	-90	0,0	0	0	1/0/0;0/1/0;0/0/1		PS_Shape	-225.121,3756.573,-95;774.879,3956.573,95		Ks_Shape
SHAPE	3C7	HE200A	DIN.DIN_HEA	774.879,3856.573,0	1774.879,3856.573,0	1000	ByLayer	HE 200 A	-90	0,0	0	0	1/0/0;0/1/0;0/0/1		PS_Shape	774.879,3756.573,-95;1774.879,3956.573,95		Ks_Shape
PLATE	3C8	774.879,3856.573,100	800,200,10	1/0/0;0/1/0;0/0/1	PS_Plate	Ks_Plate
PLATE	3C9	774.879,3856.573,-100	800,200,10	1/0/0;0/1/0;0/0/1	PS_Plate	Ks_Plate
PLATE	3CA	774.879,3864.823,0	800,10,150	1/0/0;0/1/0;0/0/1	PS_Plate	Ks_Plate
PLATE	3CB	774.879,3848.323,0	800,10,150	1/0/0;0/1/0;0/0/1	PS_Plate	Ks_Plate
BOLT	3CC	424.879,3839.823,-50	0,60,0	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3CD	424.879,3839.823,50	0,60,0	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3CE	524.879,3839.823,-50	0,60,0	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3CF	524.879,3839.823,50	0,60,0	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3D0	624.879,3839.823,-50	0,60,0	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3D1	624.879,3839.823,50	0,60,0	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3D2	724.879,3839.823,-50	0,60,0	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3D3	724.879,3839.823,50	0,60,0	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3D4	824.879,3839.823,-50	0,60,0	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3D5	824.879,3839.823,50	0,60,0	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3D6	924.879,3839.823,-50	0,60,0	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3D7	924.879,3839.823,50	0,60,0	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3D8	1024.879,3839.823,-50	0,60,0	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3D9	1024.879,3839.823,50	0,60,0	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3DA	1124.879,3839.823,-50	0,60,0	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
BOLT	3DB	1124.879,3839.823,50	0,60,0	1/0/0;0/1/0;0/0/1	PS_Bolt	Ks_Bolt
